Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.701559,0.504685,1.000000,0.000000,0.501111,0.00010000
pretrain,2,0.693422,0.582329,0.925729,0.232432,0.598889,0.00009945
pretrain,3,0.688993,0.662651,0.846154,0.475676,0.687778,0.00009780
pretrain,4,0.664512,0.751004,0.771883,0.729730,0.765556,0.00009510
pretrain,5,0.559970,0.768407,0.779841,0.756757,0.777778,0.00009141
pretrain,6,0.481426,0.748327,0.901857,0.591892,0.782222,0.00008682
pretrain,7,0.461881,0.772423,0.862069,0.681081,0.777778,0.00008145
pretrain,8,0.443087,0.759036,0.631300,0.889189,0.764444,0.00007543
pretrain,9,0.430066,0.792503,0.806366,0.778378,0.805556,0.00006891
pretrain,10,0.418270,0.801874,0.758621,0.845946,0.794444,0.00006204
pretrain,11,0.413514,0.799197,0.755968,0.843243,0.796667,0.00005500
pretrain,12,0.404078,0.805890,0.785146,0.827027,0.803333,0.00004796
pretrain,13,0.401405,0.808568,0.763926,0.854054,0.797778,0.00004109
pretrain,14,0.398382,0.804552,0.782493,0.827027,0.805556,0.00003457
pretrain,15,0.390673,0.801874,0.766578,0.837838,0.803333,0.00002855
pretrain,16,0.390500,0.808568,0.771883,0.845946,0.798889,0.00002318
pretrain,17,0.389100,0.809906,0.769231,0.851351,0.802222,0.00001859
pretrain,18,0.383452,0.809906,0.771883,0.848649,0.804444,0.00001490
pretrain,19,0.388086,0.807229,0.766578,0.848649,0.802222,0.00001220
pretrain,20,0.381092,0.801874,0.763926,0.840541,0.806667,0.00001055
